Zone                                 ,Measure ,Unit  ,Annual guideline,Dry ,Wet ,DirectionOfFailure,Justification/Source
Enclosed_Coastal_Dry Tropics         ,ntu     ,ntu   ,6               ,6   ,6   ,H                 ,
Enclosed_Coastal_Mackay Whitsunday   ,ntu     ,ntu   ,6               ,6   ,6   ,H                 ,Unclear as to why the CY/WT guidelines 
Enclosed_Coastal_Fitzroy             ,ntu     ,ntu   ,6               ,6   ,6   ,H                 ,are higher than Southern regions
Enclosed_Coastal_Burnett Mary        ,ntu     ,ntu   ,6               ,6   ,6   ,H                 ,
,,,,,,,
Open_Coastal_Cape York               ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,No guideline available but turbidity needed if logger 
Open_Coastal_Wet Tropics             ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,data is to be integrated.
Open_Coastal_Dry Tropics             ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,MMP used a correlation between TSS and NTU
Open_Coastal_Mackay Whitsunday       ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,(based on whole of GBR data) which is also used here
Open_Coastal_Fitzroy                 ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,
Open_Coastal_Burnett Mary            ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,"Applied 20% higher in summer, 20% lower in winter"
,,,,,,,
Midshelf_Cape York                   ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,No guideline available but turbidity needed if logger 
Midshelf_Wet Tropics                 ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,data is to be integrated.
Midshelf_Dry Tropics                 ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,MMP used a correlation between TSS and NTU
Midshelf_Mackay Whitsunday           ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,(based on whole of GBR data) which is also used here
Midshelf_Fitzroy                     ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,
Midshelf_Burnett Mary                ,ntu     ,ntu   ,1.5             ,1.2 ,1.8 ,H                 ,"Applied 20% higher in summer, 20% lower in winter"
,,,,,,,
Offshore_Cape York                   ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,No guideline available but turbidity needed if logger 
Offshore_Wet Tropics                 ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,data is to be integrated.
Offshore_Dry Tropics                 ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,MMP used a correlation between TSS and NTU
Offshore_Mackay Whitsunday           ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,(based on whole of GBR data) which is also used here
Offshore_Fitzroy                     ,ntu     ,ntu   ,1               ,0.8 ,1.2 ,H                 ,
